ages,confirmed,date
60-69,1369,2020-05-20
70-79,717,2020-05-20
80-,490,2020-05-20
0-9,148,2020-05-19
10-19,621,2020-05-19
20-29,3087,2020-05-19
30-39,1215,2020-05-19
40-49,1462,2020-05-19
50-59,1971,2020-05-19
60-69,1368,2020-05-19
70-79,716,2020-05-19
80-,490,2020-05-19
0-9,147,2020-05-18
10-19,621,2020-05-18
20-29,3082,2020-05-18
30-39,1215,2020-05-18
40-49,1462,2020-05-18
50-59,1968,2020-05-18
60-69,1365,2020-05-18
70-79,715,2020-05-18
80-,490,2020-05-18
0-9,147,2020-05-17
10-19,620,2020-05-17
20-29,3079,2020-05-17
30-39,1211,2020-05-17
40-49,1457,2020-05-17
50-59,1967,2020-05-17
60-69,1364,2020-05-17
70-79,715,2020-05-17
80-,490,2020-05-17
0-9,147,2020-05-16
10-19,619,2020-05-16
20-29,3074,2020-05-16
30-39,1209,2020-05-16
40-49,1454,2020-05-16
50-59,1966,2020-05-16
60-69,1364,2020-05-16
70-79,714,2020-05-16
80-,490,2020-05-16
0-9,145,2020-05-15
10-19,617,2020-05-15
20-29,3066,2020-05-15
30-39,1207,2020-05-15
40-49,1453,2020-05-15
50-59,1965,2020-05-15
60-69,1361,2020-05-15
70-79,714,2020-05-15
80-,490,2020-05-15
0-9,143,2020-05-14
10-19,614,2020-05-14
20-29,3056,2020-05-14
30-39,1202,2020-05-14
40-49,1451,2020-05-14
50-59,1964,2020-05-14
60-69,1359,2020-05-14
70-79,712,2020-05-14
80-,490,2020-05-14
0-9,143,2020-05-13
10-19,603,2020-05-13
20-29,3042,2020-05-13
30-39,1199,2020-05-13
40-49,1450,2020-05-13
50-59,1964,2020-05-13
60-69,1359,2020-05-13
70-79,712,2020-05-13
80-,490,2020-05-13
0-9,142,2020-05-12
10-19,602,2020-05-12
20-29,3029,2020-05-12
30-39,1194,2020-05-12
40-49,1448,2020-05-12
50-59,1963,2020-05-12
60-69,1358,2020-05-12
70-79,711,2020-05-12
80-,489,2020-05-12
0-9,141,2020-05-11
10-19,598,2020-05-11
20-29,3019,2020-05-11
30-39,1188,2020-05-11
40-49,1446,2020-05-11
50-59,1960,2020-05-11
60-69,1358,2020-05-11
70-79,711,2020-05-11
80-,488,2020-05-11
0-9,141,2020-05-10
10-19,597,2020-05-10
20-29,2998,2020-05-10
30-39,1180,2020-05-10
40-49,1442,2020-05-10
50-59,1960,2020-05-10
60-69,1357,2020-05-10
70-79,711,2020-05-10
80-,488,2020-05-10
